station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
BRI;01.07.2009 00:00;32.9;64;4
BRI;01.08.2009 00:00;47.5;83;7
BRI;01.09.2009 00:00;28.1;66;5
BRI;01.10.2009 00:00;15.9;26;5
BRI;01.11.2009 00:00;126.1;159;12
BRI;01.12.2009 00:00;51.8;71;9
BRI;01.01.2010 00:00;28.9;43;8
BRI;01.02.2010 00:00;12.7;27;4
BRI;01.03.2010 00:00;37.2;75;5
BRI;01.04.2010 00:00;15;28;3
BRI;01.05.2010 00:00;141.7;195;15
BRI;01.06.2010 00:00;20.7;35;5
BRI;01.07.2010 00:00;40.1;78;10
BRI;01.08.2010 00:00;79.7;140;13
BRI;01.09.2010 00:00;22.4;52;7
BRI;01.10.2010 00:00;63;101;6
BRI;01.11.2010 00:00;72.9;92;8
BRI;01.12.2010 00:00;54;74;10
BRI;01.01.2011 00:00;11.4;17;3
BRI;01.02.2011 00:00;12.1;25;4
BRI;01.03.2011 00:00;38.1;77;6
BRI;01.04.2011 00:00;0.2;0;0
BRI;01.05.2011 00:00;56.2;78;5
BRI;01.06.2011 00:00;73.2;125;12
