"year_month","observed","trend","seasonal","deterministic","stochastic"
Nov 1994,-6.6,-7.2627934057349,-2.62131885527651,-9.88411226101141,3.28411226101141
Dec 1994,-10.2,-7.25881146930437,-4.52620538502792,-11.7850168543323,1.58501685433229
Jan 1995,-15.2,-7.25482953287385,-5.42930408143509,-12.6841336143089,-2.51586638569106
Feb 1995,-11,-7.25084759644332,-6.23706617730537,-13.4879137737487,2.48791377374869
Mar 1995,-14.6,-7.24686566001279,-5.07934090087222,-12.326206560885,-2.27379343911499
Apr 1995,-9.6,-7.24288372358227,-3.25829993222797,-10.5011836558102,0.901183655810243
May 1995,-5.8,-7.23890178715175,1.71016444522305,-5.52873734192869,-0.271262658071307
Jun 1995,-3.5,-7.23491985072121,4.60505281273233,-2.62986703798888,-0.870132962011117
Jul 1995,2.5,-7.23093791429069,7.06673436446618,-0.164203549824513,2.66420354982451
Aug 1995,-1,-7.22695597786017,7.28075613526018,0.0538001574000129,-1.05380015740001
Sep 1995,-5.5,-7.22297404142964,4.42932407119644,-2.7936499702332,-2.7063500297668
Oct 1995,-1.7,-7.21899210499912,2.07474858795911,-5.14424351704,3.44424351704
Nov 1995,-10.1,-7.21501016856859,-2.6615559324652,-9.8765661010338,-0.223433898966203
Dec 1995,-12.3,-7.21102823213806,-4.59435411251521,-11.8053823446533,-0.494617655346728
Jan 1996,-10.9,-7.20704629570754,-5.39836991673509,-12.6054162124426,1.70541621244263
Feb 1996,-16.4,-7.20306435927702,-6.24753660183688,-13.4506009611139,-2.9493990388861
Mar 1996,-14.3,-7.19908242284649,-5.06206100033258,-12.2611434231791,-2.03885657682093
Apr 1996,-9.5,-7.19510048641596,-3.2227714630251,-10.4178719494411,0.917871949441066
May 1996,-5.6,-7.19111854998544,1.75808976383601,-5.43302878614943,-0.166971213850568
Jun 1996,-2.3,-7.18713661355491,4.68201161358672,-2.50512499996819,0.205124999968191
Jul 1996,-1.3,-7.18315467712439,7.04409127485114,-0.139063402273243,-1.16093659772676
Aug 1996,-1.7,-7.17917274069387,7.27259633289095,0.0934235921970803,-1.79342359219708
Sep 1996,-6,-7.17519080426333,4.378513084873,-2.79667771939033,-3.20332228060967
Oct 1996,-6,-7.17120886783281,2.06667366445944,-5.10453520337338,-0.895464796626625
Nov 1996,-10.8,-7.16722693140229,-2.70167383181562,-9.8689007632179,-0.931099236782096
